Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Norway,2894.745725781,2932.580201318,3394.8694354718,3287.5516355234,3803.6849304047,3175.5831934289,3403.2912131354,3508.0408387476,3537.0034156045,3253.0324879125,3324.9393646208,3309.1982864843,2922.3435099934,2965.9739869768,4065.8685484821,4517.514992472,4887.3803374362,4884.9049282111,5011.7489666055,5875.2881004901,6370.9219858156,6195.6036022283,6498.6590383791,7232.2605854823,7143.9621830683,7391.829787234,7334.0736040609,5898.4192070848
Portugal,1347.8376522724,1456.5354126188,1875.0878969426,2115.3838148508,2532.6494061179,2192.2081419531,2173.6347298446,2670.1215717961,2600.8495328609,2388.6878112653,2335.5970955867,2406.493740325,2204.2564953013,2324.8114110836,2602.2304832714,3109.8129417156,3719.4315620868,4039.3224891807,4066.783668134,4366.1840747402,4812.0994616765,4949.6904186052,4718.9240376401,4904.3935191943,4137.2540453865,4724.1020820305,4111.5480635192,3684.4942324756
Spain,8900.4142265391,9302.9302958407,11695.0386445437,11680.2637541412,12250.1954296283,10041.5113531917,10092.6712573779,11439.9062711837,11294.3168547562,9865.8922410462,10333.4172342975,11113.7224904035,10273.7792518887,10222.0740753998,10270.8390193403,12880.5328012243,15262.4586367672,15997.7242202656,17252.2176126934,20065.6686348096,22227.7218295675,20178.274984962,19710.7854498738,19695.435494297,18860.6233634077,17242.9593220024,17050.6933046511,14103.5492457853
Sweden,4917.6207535314,5032.9771920681,6169.5042398869,6219.4603693776,6418.6282910044,5011.1583196611,5154.5042295395,5729.7704979624,6203.43694266,5203.2183829761,5132.2851820219,5148.7274324866,4789.4401369098,4128.0460059444,4354.5730154296,5305.6404041403,5514.7103848336,5518.4669259972,5577.2032663572,6386.2211615427,6024.7910060536,5062.9620241918,5885.9358003863,6324.7473643036,6243.6716053975,6528.7374673202,6555.518063895,5377.1641457411
Switzerland,3276.1566322695,3082.0389625473,4056.4081891215,4016.7644125831,4138.043833824,3611.2126257089,3899.2754205997,4645.360981674,4239.447900907,3498.2188505557,3494.2509708169,3146.822887195,2800.1468463561,2763.655325251,2882.6967618583,3270.337504177,3503.8198632891,3484.636759344,3328.9733937345,3524.7465364846,4098.4590384917,4055.5443233408,4115.4078491912,4973.8638487819,4592.1653776752,5032.8836643277,4612.7767147555,4770.384789029
UK,34304.1250867175,33498.6984045434,38943.7956450636,42074.2837491072,40774.9388353979,34085.8813630753,34493.5241427122,34247.8237815386,34490.9494849897,35674.8783634232,36866.2888523808,36453.3530078941,35254.8147991243,35331.9273596246,39659.5291229469,46942.962290521,53970.3028305687,55151.5641875061,57482.9756737512,65986.0896568835,65619.4504803609,57914.6278580319,58082.8487945375,60270.435686808,58495.656720591,56861.7595882819,59182.8585542566,55460.3480909251
Bahrain,207.4468085106,218.085106383,239.3617021277,263.2978723404,279.2553191489,279.2553191489,284.5744680851,303.1914893617,321.8085106383,321.8085106383,329.7872340426,364.3617021277,359.0425531915,372.3404255319,444.1489361702,515.9574468085,531.914893617,513.2978723404,574.2021276596,642.5531914894,719.9468085106,828.1914893617,842.8191489362,1033.5106382979,1182.1808510638,1347.6063829787,1475.2659574468,1429.5212765957
Egypt,4453.5650663356,3516.3448014059,2260.6451612903,1345.7573430295,1415.8199744111,1526.1653920036,1714.4097863302,1948.8769857998,2115.7429794662,2267.6503135374,2372.0484061393,2447.9787939033,2627.6983338374,2834.2562295495,2902.7684252401,2383.9148982717,2369.7435864331,2659.4397135752,2952.5201590045,3306.9082572226,3779.8803497469,4017.4044782715,4407.2864527192,4463.974191069,4557.7487673504,4359.83424377,5085.1205421039,5477.1021422721
Iran,18889.0085626582,16301.8129320636,16474.4016982345,17549.5948299352,19732.5580154057,1448.1777034806,1703.1715362057,2501.5441895579,3550.9869641929,4642.3846158233,5479.3629417438,6650.2851439977,8327.0538243626,10378.7917657186,3243.8910332327,3717.0684497839,5243.6211325994,6796.7449653948,8751.4747670359,9330.9018817711,11081.9502085691,12584.6233387062,13561.2724542139,14277.6673605682,16493.9632869287,11997.1869840994,9901.1051704399,10265.2975591698
Iraq,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,613.7248696179,1120.2785326087,1236.0810129343,1942.1235961325,2873.2356589667,2968.3760683761,3581.1965811966,5904.5299145299,6054.6061037413,7896.2264150943,9516.4609053498,13120.8517859805
Israel,7499.2880256476,6063.5702915425,7234.2236460244,10462.9142837712,8202.1433486661,8743.1339733214,8674.7198263062,8856.4322024239,9523.0616568885,9638.9621243934,9102.7349033698,8606.6330189662,9366.3129132215,9529.4977687455,9998.5560884391,10722.4873511781,11020.0592439323,10817.1142665127,11442.7045439242,11994.8549582866,14095.1425980274,13979.3905983402,14559.4728900422,15372.5335087992,14741.904032859,16873.7920541774,18106.0716514346,16100.5312873222
Jordan,587.7763884881,382.8910361728,322.4290053517,433.2717451011,367.7454848209,391.1374884355,407.8630267157,299.8385155423,417.4894217207,444.2877291961,496.4739069111,511.9887165021,529.3370944993,528.9266456318,521.8617771509,611.8476727786,586.7418899859,603.6671368124,701.5514809591,1032.4400564175,1358.3835799044,1568.3098591549,1557.8873239437,1594.7887323944,1472.8169014085,1444.9295774648,1550,1616.0563380282
Kuwait,1704.1239441062,2076.3907563168,8961.5364614931,12924.3779659407,6316.0120454398,2980.0655316245,3296.0555125139,3692.4355331582,3241.3855294931,2454.2688454552,2282.1535917258,2286.3525121955,2697.0755963558,2685.7352784535,2821.5218778997,3130.7464128961,3450.1187648456,3509.4178082192,3597.8164975739,4115.7367335881,4430.3420774622,4208.871205935,4335.2046530615,5393.5263190315,5941.5366369456,5698.067232521,5942.4198763003,. .
Lebanon,39.3177430785,. .,214.3610386584,229.4697310033,442.7863310739,452.9792805623,637.4734386067,746.2640541257,735.6310135926,678.1642794505,693.8718975286,829.6636247878,930.0165837479,958.5406301824,907.4626865672,923.3830845771,954.5605306799,962.5207296849,1008.9552238806,1152.2388059702,1169.4859038143,1426.2023217247,1585.4063018242,1626.5339966833,1757.2139303483,1935.7182413723,2270.0659597938,2239.4160937395
Oman,1531.8595578674,1562.0286085826,1930.5591677503,1673.0819245774,2022.8868660598,1919.8959687906,2026.7880364109,2018.4655396619,1916.2548764629,1976.0728218466,1757.6072821847,1787.2561768531,2102.9908972692,2426.5279583875,2491.2873862159,2625.7477243173,2974.2522756827,3652.0156046814,4030.1690507152,4326.1378413524,4616.6449934981,4489.9869960988,4895.188556567,6667.6202860858,12334.200260078,11688.4265279584,10951.3654096229,9882.9648894668
Qatar,982.5549450549,848.4615384615,790.7967032967,895.6318681319,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,760.989010989,784.6153846154,772.3626373626,887.5,1065.7417582418,1562.2252747253,2317.5,1948.3516483517,1876.7582417582,. .,. .,. .,. .,. .
Saudi Arabia,13354.6666666667,12749.8666666667,16355.4666666667,16355.4666666667,15360.2666666667,16451.2,14279.7333333333,13200.2666666667,13340,18126.6666666667,20861.6,18320,19964.2666666667,21026.6666666667,18501.8666666667,18747.4666666667,20910.4,25392.0386007238,29580.5073431242,35469.5130086724,38222.9333333333,41267.2,45244.5333333333,48530.9333333333,56497.8666666667,67020,80762.4,87185.8666666667
Syria,3722.8025477707,1483.6525612472,1641.7817371938,2893.8084632517,2976.570155902,1426.0952380952,1636.2997760899,957.8998189499,995.0890409326,1046.9279610445,1096.0395330516,1127.632857109,897.0449086542,1022.526577914,1102.9121569097,1436.2107335445,1388.544983486,1450.3246566684,1435.2156922841,1599.033723065,1732.416847902,2181.9745811918,2346.0212830124,2494.8874831484,. .,. .,. .,. .
Turkey,2663.9012901185,3373.7415632895,5315.4133954858,5670.6665196485,6157.947273304,7075.0869398977,5293.1739657601,6606.2458147108,7512.0907955172,7791.9863036249,8781.0481582056,9951.7888739514,9993.730196939,7216.0510448029,9050.3771819828,10277.9017782782,10920.773882178,12081.156313729,13363.2989811949,15319.1618626529,17127.3132218592,16352.3018436202,17939.3705124443,17304.8815609775,17958.2404056362,18614.6669803871,17770.315596659,15275.4889362898
UAE,. .,. .,. .,. .,. .,. .,. .,. .,. .,3335.7667414849,4010.3471749489,4233.0837304289,5875.8339006127,5797.957794418,5354.1184479238,5834.7174948945,6816.8822328114,6604.2205582029,7165.4186521443,8460.9938733833,11571.6814159292,13836.3512593601,17504.6970728387,19181.7562968005,19024.0980258679,23561.0619469027,22755.0714771954,. .
Yemen,xxx,xxx,807.0707154811,1028.2179165869,1306.9000258116,1535.4576564725,2353.2693316459,805.8923779114,416.0086324181,397.0730424424,384.5027303101,395.2529572689,473.6640324516,540.1014987668,737.3665480427,807.3132440801,735.4851279387,815.6274639834,822.1305360596,1050.4993641714,1196.4117658837,1420.7752641153,1448.1533767476,1612.2544434051,1618.8401267081,1648.7505235237,1714.8308436875,. .
"Yemen, North",. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
"Yemen, South",. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
